NumComponents,SearchSpaceSize,TotalComputeTime,HSIterations,Availability,Cost,Loss,MeanSingleInferenceTime,StdSingleInferenceTime,MeanSingleBuildBNTime,StdSingleBuildBNTime,MeanSingleBuildAppTime,StdSingleBuildAppTime
3,6440000,12.144535064697266,100,0.9251,502.15999999999997,502.15999999999997,0.19486178051341663,0.023787438272722315,0.0067140405828302555,0.00013745439067930714,2.09808349609375e-05,6.457739473662737e-06
3,6440000,55.653812885284424,1000,0.9247,365.75,365.75,0.18045902252197266,0.015455020237325034,0.006925214420665394,0.0008075986140356239,2.9195438731800426e-05,3.246846368556701e-05
3,6440000,495.75072407722473,10000,0.9284,359.75,359.75,0.1816507252779874,0.015093606588081294,0.0067797140641645956,0.00034059517880661715,2.2346323186700996e-05,1.2178707736007495e-05
