NumComponents,SearchSpaceSize,TotalComputeTime,HSIterations,Availability,Cost,Loss,MeanSingleInferenceTime,StdSingleInferenceTime,MeanSingleBuildBNTime,StdSingleBuildBNTime,MeanSingleBuildAppTime,StdSingleBuildAppTime
4,414000,13.107970237731934,100,0.9247333333333333,61.78,61.78,0.21159763769669968,0.016386077570565975,0.008437590165571733,0.0005081865518444648,2.7223066850142047e-05,1.8935576882831605e-05
4,414000,60.26219701766968,1000,0.9216,15.4,15.4,0.21167848326943137,0.01620103187335131,0.008413358168168501,0.0005658868211588426,2.7418136596679688e-05,1.572248472332079e-05
4,414000,533.987086057663,10000,0.9228,10.54,10.54,0.2113164554942738,0.014790324000484044,0.008467392487959429,0.00046972776964253874,2.6117671619762074e-05,1.195225658289315e-05
