NumComponents,SearchSpaceSize,TotalComputeTime,HSIterations,Availability,Cost,Loss,MeanSingleInferenceTime,StdSingleInferenceTime,MeanSingleBuildBNTime,StdSingleBuildBNTime,MeanSingleBuildAppTime,StdSingleBuildAppTime
3,8460,12.09241509437561,100,0.9273,18.6,18.6,0.18168213150717996,0.015140155366734478,0.006785891272804954,0.00038299327360728997,2.100250937721946e-05,1.0429381381539434e-05
3,8460,56.707046031951904,1000,0.9222,6.6,6.6,0.18194920366460626,0.015437135821260255,0.006719892675226385,0.0002564046857721289,2.2476369684392754e-05,1.574353569335353e-05
3,8460,494.08653378486633,10000,0.9247,0.0,0.0,0.18203197826038708,0.014338204406110411,0.006712328303943981,0.0002660208915054132,2.3126602172851562e-05,1.4890623701692741e-05
