n,NveSimpleBNlearn,NvSimplegRain,NvSimpleBeliefePropagation,ScSimpleBelifePropagation,ScSimpleBNlearn,ScSimplegRain
3,0.0010000000000000009,0.0,0.009669959545135498,0.017533469200134277,0.002000000000000046,0.0009999999999999788
4,0.002000000000000046,0.0009999999999999788,0.01056267023086548,0.028329074382781982,0.0034999999999996588,0.0009999999999999788
5,0.002999999999999936,0.002000000000000135,0.017657601833343507,0.037026286125183105,0.002999999999999936,0.0
6,0.0029999999999997585,0.0,0.031272923946380614,0.05634553432464599,0.011499999999998779,0.000999999999999801
7,0.0035000000000000144,0.0,0.06931384801864623,0.08875925540924072,0.012999999999997413,0.0004999999999999005
8,0.007500000000000284,0.0004999999999999005,0.13471356630325318,0.10904778242111206,0.004499999999997328,0.002499999999999858
9,0.006999999999998607,0.0,0.2858965158462524,0.24566683769226075,0.009999999999998722,0.0005000000000002558
10,0.006000000000000938,0.0005000000000002558,0.664540958404541,0.2039056420326233,0.0134999999999998,0.000999999999999801
11,0.007500000000000284,0.0,1.3140056490898133,0.2561366081237793,0.007500000000001705,0.0005000000000009664
12,0.007000000000006423,0.0,3.1739768624305724,0.31748846769332884,0.010499999999998977,0.0010000000000005115
13,0.0089999999999975,0.0009999999999990906,5.897191667556763,0.3753971457481384,0.012499999999997157,0.0029999999999972713
14,0.010999999999998521,0.003000000000002956,12.719263136386871,0.43623330593109133,0.011500000000000909,0.0009999999999990906
15,0.01400000000000432,0.0020000000000038654,25.57949092388153,0.5228848457336426,0.011000000000001365,0.0014999999999986357
16,0.016000000000008185,0.003999999999996362,59.40604679584503,0.6399162292480469,0.012999999999988177,0.001999999999998181
17,0.02249999999999992,0.0125,0,0.9211485266685486,0.01799999999999944,0.0019999999999999575
18,0.04049999999999905,0.018500000000000582,0,0.9125410199165345,0.012499999999998578,0.0020000000000003127
19,0.07099999999999937,0.03349999999999653,0,1.2534396648406982,0.013999999999996505,0.004000000000001336
20,0.09800000000000182,0.08200000000000074,0,1.3051499009132386,0.01600000000001245,0.0015000000000000568
21,0.18250000000000027,0.16650000000000204,0,1.502633559703827,0.018500000000000228,0.0014999999999986357
22,0.5410000000000054,0.32300000000000184,0,1.7057455778121948,0.021500000000003183,0.003499999999996817
23,0.8884999999999877,0.6419999999999846,0,1.7695547342300415,0.016000000000030924,0.0020000000000038654
24,1.774499999999989,1.3490000000000009,0,1.7755826950073241,0.016999999999995907,0.0024999999999977263
25,3.8400000000000034,2.713999999999987,0,1.9643183946609497,0.017999999999989313,0.0014999999999986357

