n,time_nv,time_sc,time_prism
3,0.003989696502685547,0.0,0.0029938220977783203
4,0.006979942321777344,0.0,0.0019893646240234375
5,0.008960247039794922,0.0,0.00400543212890625
6,0.014961004257202148,0.0,0.002008199691772461
7,0.022939205169677734,0.0,0.003988742828369141
